n,T(n)
0,1.9999919459223747e-05
1000,0.016108999960124493
2000,0.03026299993507564
3000,0.045661000069230795
4000,0.06140100001357496
5000,0.07550699985586107
6000,0.08955600019544363
7000,0.10475499997846782
8000,0.12050199997611344
9000,0.1345610001590103
10000,0.14846199983730912
,
